Date,Price,Open,High,Low,Vol.,Change %
29-08-2023,605.28,601.74,608.62,601.74,6.96M,0.79%
30-08-2023,603.69,609.32,611.02,603.14,5.68M,-0.26%
31-08-2023,599.15,606.93,607.78,597.21,10.54M,-0.75%
01-09-2023,388.25,385.16,391.49,383.82,14.69M,1.95%
02-09-2023,435.41,438.65,439.34,432.22,7.35M,-0.76%
03-09-2023,430.87,437.75,440.69,429.97,5.70M,-1.62%
05-09-2023,502.1,500.46,511.22,500.01,19.82M,0.63%
06-09-2023,560.57,562.66,564.71,557.58,9.36M,0.46%
08-09-2023,620.64,608.72,622.08,603.49,13.36M,2.51%
10-09-2023,615.45,618.89,620.09,611.81,6.38M,-0.82%
11-09-2023,647.35,642.02,651.64,640.72,10.16M,1.06%
13-09-2023,623.97,619.09,626.57,617.64,6.99M,0.82%
14-09-2023,622.68,626.17,628.86,621.38,5.72M,-0.21%
15-09-2023,632.3,626.77,634.54,625.22,18.92M,1.54%
18-09-2023,638.68,633.94,642.22,631.2,11.11M,1.01%
20-09-2023,636.54,638.73,645.01,635.04,11.78M,-0.34%
21-09-2023,625.12,636.54,639.73,622.08,9.27M,-1.79%
22-09-2023,618.54,626.07,628.86,617.1,6.55M,-1.05%
25-09-2023,616.8,621.93,623.28,616,6.39M,-0.28%
26-09-2023,617.89,616.8,623.78,616.05,6.27M,0.18%
27-09-2023,618.24,618.04,619.99,614.85,5.96M,0.06%
28-09-2023,612.21,620.98,621.88,610.37,6.77M,-0.98%
29-09-2023,628.26,616.8,631.05,615.1,8.97M,2.62%
01-10-2023,411.63,398.77,416.46,398.77,54.02M,6.02%
02-10-2023,444.48,436.6,446.42,429.87,14.80M,2.08%
03-10-2023,434.51,431.67,436.45,429.48,10.42M,0.84%
04-10-2023,459.88,450.66,471.84,450.61,50.46M,5.40%
05-10-2023,507.93,506.44,511.32,502.8,12.48M,1.16%
07-10-2023,616.75,622.08,632.85,615.65,23.80M,0.07%
08-10-2023,616.35,621.08,626.37,596.16,53.12M,-0.69%
10-10-2023,628.61,618.09,630.55,615.7,9.83M,2.14%
11-10-2023,649.05,647.35,650.94,642.02,6.43M,0.26%
13-10-2023,665.05,632,666.94,631.05,28.01M,4.73%
16-10-2023,664.15,666.49,675.72,659.22,20.01M,-0.13%
17-10-2023,653.68,667.94,668.84,652.64,10.26M,-1.58%
18-10-2023,666.44,656.57,670.18,651.79,14.91M,1.95%
19-10-2023,666.74,660.91,670.23,656.57,10.63M,0.04%
20-10-2023,661.16,664.6,674.32,658.47,11.76M,-0.84%
23-10-2023,645.36,661.61,665.2,643.02,8.56M,-2.39%
25-10-2023,635.89,648,649.9,634.09,8.23M,-1.47%
26-10-2023,624.62,633.05,633.7,622.23,8.89M,-1.77%
27-10-2023,639.08,628.06,641.97,626.52,10.23M,2.31%
